Character;Unicode;Filename;Weight_Q1;Weight_Q2;Weight_Q3;Weight_Q4;SpecificWeight_Q1;SpecificWeight_Q2;SpecificWeight_Q3;SpecificWeight_Q4;CoG_X;CoG_Y;NormCoG_X;NormCoG_Y;MomentOfInertia_X;MomentOfInertia_Y;NormMomentOfInertia_X;NormMomentOfInertia_Y
ם;1501;1501.png;88;95;81;109;0.3087719298245614;0.3333333333333333;0.28421052631578947;0.3824561403508772;15.84450402144772;19.327077747989275;0.5281501340482574;0.5086073091576125;29040.09651474531;12610.981233243969;0.05391654199079358;0.03756622351279109
מ;1502;1502.png;79;87;64;84;0.2771929824561403;0.28618421052631576;0.22456140350877193;0.27631578947368424;15.665605095541402;18.802547770700638;0.5053420998561743;0.49480388870264835;22195.75796178344;9745.888535031847;0.048952304201403216;0.03229746261866238
ן;1503;1503.png;29;60;18;65;0.14009661835748793;0.2898550724637681;0.08695652173913043;0.3140096618357488;9.645348837209303;22.151162790697676;0.5358527131782946;0.4815470171890799;16122.06976744186;419.3662790697674;0.04429724185453538;0.007525234694763268
נ;1504;1504.png;19;54;24;73;0.1;0.2583732057416268;0.12631578947368421;0.3492822966507177;11.16470588235294;20.558823529411764;0.5316526610644258;0.5410216718266254;12511.911764705881;921.3882352941176;0.05096916964602363;0.012290092507591272
ס;1505;1505.png;77;87;76;90;0.2894736842105263;0.30526315789473685;0.2857142857142857;0.3157894736842105;14.43939393939394;18.842424242424244;0.49791013584117033;0.4958532695374801;23639.80606060606;9899.28787878788;0.04960926311719563;0.03566925333761352
ע;1506;1506.png;58;55;69;64;0.21804511278195488;0.20676691729323307;0.2593984962406015;0.24060150375939848;14.08130081300813;19.922764227642276;0.502903600464576;0.5242832691484809;14099.532520325203;6002.373983739838;0.03969194795488256;0.031122314085261314
ף;1507;1507.png;93;98;4;67;0.2888198757763975;0.30434782608695654;0.012422360248447204;0.2080745341614907;15.782442748091603;17.65267175572519;0.5636586695747001;0.38375373382011285;21995.393129770993;7086.599236641222;0.03967480254002762;0.034500113124324376
פ;1508;1508.png;81;83;75;82;0.28421052631578947;0.2912280701754386;0.2631578947368421;0.28771929824561404;15.09968847352025;18.853582554517136;0.5033229491173417;0.4961469093293983;23792.118380062304;9118.809968847352;0.05132877344012889;0.031563897434570276
ץ;1509;1509.png;84;94;72;13;0.2608695652173913;0.27246376811594203;0.2236024844720497;0.03768115942028986;13.790874524714829;18.638783269961976;0.4755473974039596;0.4051909406513473;20420.684410646387;6385.498098859316;0.03669432319148402;0.02886975083464514
צ;1510;1510.png;62;78;57;118;0.23308270676691728;0.2736842105263158;0.21428571428571427;0.41403508771929826;15.47936507936508;20.64761904761905;0.5337712096332786;0.5433583959899749;22249.885714285716;8056.615873015872;0.0489158987694801;0.030412078866866248
ק;1511;1511.png;70;117;69;55;0.2028985507246377;0.3179347826086957;0.2;0.14945652173913043;15.546623794212218;18.681672025723472;0.5015039933616845;0.406123304907032;28327.485530546626;10851.073954983924;0.04304591799510486;0.03630688141366651
ר;1512;1512.png;46;84;0;53;0.1862348178137652;0.3157894736842105;0.0;0.19924812030075187;16.043715846994534;14.524590163934427;0.5942116980368346;0.3822260569456428;10073.639344262296;3693.6502732240433;0.03812133624064263;0.027687079937514847
ש;1513;1513.png;75;92;106;89;0.23219814241486067;0.2848297213622291;0.3281733746130031;0.2755417956656347;16.7707182320442;19.955801104972377;0.4932564185895353;0.5251526606571678;22267.292817679558;15643.969613259667;0.042598240036270406;0.03738355161936681
ת;1514;1514.png;74;107;91;62;0.24342105263157895;0.3519736842105263;0.2993421052631579;0.20394736842105263;17.419161676646706;18.00299401197605;0.5443488023952096;0.4737630003151592;23774.99700598802;13451.317365269462;0.049295447206669805;0.03932949734886515
